feature,lasso_coef,xgb_gain
mfcc_12_mean,-0.8011185287541099,22.83089256286621
s1_mean_amp,0.26900961091219877,12.11738395690918
approx_entropy,-0.3144319151563219,11.48914623260498
spec_flatness,0.0,10.840376853942871
clip_rate,-0.041683575563008696,10.356618881225586
mfcc_2_mean,0.5897258040046776,10.159758567810059
systole_dur_mean,-0.36137977937819576,9.750604629516602
hurst,0.32639500024636875,9.262328147888184
zcr,-0.06731143424970869,8.432339668273926
mfcc_6_mean,-0.30368840874464936,8.378705978393555
mfcc_d_9_mean,0.09613856248487997,8.217619895935059
sd_ratio,0.15539421865135247,8.184347152709961
mfcc_0_mean,-1.1406821631560318,8.079380989074707
snr_db,-0.14379827331614867,7.969359874725342
wavelet_entropy,-0.1352625640357987,7.914620876312256
mfcc_3_mean,-0.7704439112974011,7.7986979484558105
mfcc_8_mean,-1.1793321274925515,7.797351837158203
s2_mean_amp,-0.14436938168728067,7.665452480316162
wavelet_e1,0.3550753741523815,7.648420333862305
mfcc_10_mean,0.12980321628814825,7.566343307495117
mfcc_d_2_mean,-0.11355605095913904,7.521040916442871
diastole_dur_mean,0.2761443421363254,7.343897342681885
mfcc_9_mean,0.7613581239413656,7.332555294036865
spec_bandwidth,0.02435979014101245,7.223039627075195
mfcc_11_mean,-0.655013737263428,7.003298759460449
fractal_dfa,-0.07272178562897784,6.848968505859375
mfcc_4_mean,1.1069305434649779,6.807392597198486
mfcc_5_mean,0.16641896097025644,6.765442848205566
mfcc_d_8_mean,0.0074709346944188204,6.530964374542236
mfcc_1_mean,-1.3323803993269727,6.481468677520752
mfcc_d_12_mean,-0.037517892247227395,6.440725326538086
wavelet_e2,0.6197859810376345,6.361258029937744
mfcc_d_1_mean,0.22462990508630185,6.3317389488220215
mfcc_7_mean,0.40718260704090325,6.229822635650635
mfcc_d_5_mean,0.023972920885107867,6.156710624694824
rms,0.0,6.123011589050293
s1s2_ratio,0.021589488803206325,5.986075401306152
mfcc_d_7_mean,0.03236309064466509,5.822348594665527
mfcc_d_3_mean,0.07112151838464073,5.803802490234375
mfcc_d_11_mean,-0.011478028810694312,5.8015336990356445
mfcc_d_4_mean,0.01561154352305835,5.774355888366699
spec_rolloff,0.0,5.77338981628418
mfcc_d_6_mean,0.06171157420956423,5.621979713439941
mfcc_d_10_mean,-0.04588818548451207,5.309966087341309
wavelet_e0,0.9237253828812503,5.254746437072754
spec_centroid,0.3508524909294994,5.107789039611816
mfcc_d_0_mean,0.07914560852028958,5.040128707885742
sample_entropy,-0.10862521467374235,
